Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 8535.74, cantidad escalas: 1
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 12120.170000000002, cantidad escalas: 5
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 22612.420000000002, cantidad escalas: 6
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 26670.910000000003, cantidad escalas: 7
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 45386.59000000001, cantidad escalas: 10
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 52151.86000000001, cantidad escalas: 10
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 68135.77, cantidad escalas: 12
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 64627.62, cantidad escalas: 10
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 27139.800000000003, cantidad escalas: 8
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 22712.200000000004, cantidad escalas: 7
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 15994.83, cantidad escalas: 5
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 36928.1, cantidad escalas: 6
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 28691.25, cantidad escalas: 7
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 37027.88, cantidad escalas: 7
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 34710.51, cantidad escalas: 8
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 41475.78, cantidad escalas: 8
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 57459.69, cantidad escalas: 10
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 53951.54, cantidad escalas: 8
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 16463.719999999998, cantidad escalas: 6
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 12192.01, cantidad escalas: 2
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 33125.28, cantidad escalas: 3
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 24888.43, cantidad escalas: 4
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 33225.06, cantidad escalas: 4
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 30907.69, cantidad escalas: 5
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 37672.96, cantidad escalas: 5
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 53656.87, cantidad escalas: 7
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 50148.72, cantidad escalas: 5
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 17213.31, cantidad escalas: 6
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 27705.56, cantidad escalas: 7
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 27805.340000000004, cantidad escalas: 8
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 12660.899999999998, cantidad escalas: 3
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 12681.080000000002, cantidad escalas: 3
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 33614.35, cantidad escalas: 4
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 25377.5, cantidad escalas: 5
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 33714.13, cantidad escalas: 5
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 50637.79, cantidad escalas: 6
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 17702.38, cantidad escalas: 7
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 28194.63, cantidad escalas: 8
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 28294.410000000003, cantidad escalas: 9
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 13149.970000000001, cantidad escalas: 4
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 10757.220000000001, cantidad escalas: 4
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 50240.23, cantidad escalas: 7
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 71173.5, cantidad escalas: 8
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 62936.649999999994, cantidad escalas: 9
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 71273.28, cantidad escalas: 9
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 55261.53, cantidad escalas: 11
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 65753.78, cantidad escalas: 12
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 65853.56, cantidad escalas: 13
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 12752.41, cantidad escalas: 5
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 33685.68, cantidad escalas: 6
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 25448.83, cantidad escalas: 7
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 33785.46, cantidad escalas: 7
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 17773.71, cantidad escalas: 9
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 28265.96, cantidad escalas: 10
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 28365.739999999998, cantidad escalas: 11
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 35430.26, cantidad escalas: 5
Información de vuelo su origen es: John F. Kennedy, el destino: Ministro Pistarini, km totales: 56363.53, cantidad escalas: 6
